"fg","year","bin_midpoint","bin_min","bin_max","mean_n_individuals","mean","sd","q025","q25","median","q75","q975","ci_min","ci_max"
"fg3",2005,4.91914896842916,4.21616496004298,5.62213297681534,7486,0.189032493429499,2.29344782685892,0.0410425771319179,0.102441298196508,0.202511235134904,0.366187430212523,0.761134756711699,0.185507794801422,0.192624162291533
"fg3",2005,6.55954164397562,5.62213297681534,7.4969503111359,5294,0.35315100233031,2.36677691168429,0.0722626178177374,0.182996285951603,0.396780681849863,0.696110298995711,1.41733559367481,0.345047392958381,0.361444928992539
"fg3",2005,8.74695742194416,7.4969503111359,9.99696453275241,4037,0.637575243462802,2.45646153488373,0.113768041524412,0.330807293255505,0.709367166168095,1.28624022622622,2.71423592742713,0.620138093791622,0.655502693910049
"fg3",2005,11.6638125487886,9.99696453275241,13.3306605648247,2569,1.14376830598582,2.47846448212711,0.18569096436835,0.618027552100168,1.27437377100627,2.23746667603826,5.42963642830363,1.10432091758744,1.18462479243412
"fg3",2005,15.5533537675595,13.3306605648247,17.7760469702942,1345,2.2141166656418,2.63201989055969,0.285686695483229,1.18874487423951,2.48745816625081,4.60540983640362,10.7634002772381,2.10251541020853,2.33164170177784
"fg3",2005,20.7399435139226,17.7760469702942,23.703840057551,843,4.779041292987,2.76606364141781,0.502114838310102,2.57536409660489,5.92856963678199,9.99425100162823,23.1357082252826,4.46182969832963,5.11880489042986
"fg3",2005,27.6561096332728,23.703840057551,31.6083792089945,634,8.28149867253077,2.60883245539236,0.842058842611374,4.84817703136721,9.78444561252485,16.2232975037994,38.2556477836829,7.68586439706259,8.92329303771483
"fg3",2005,36.8786153893889,31.6083792089945,42.1488515697832,510,13.7843651594407,2.90346608074786,1.29942490961515,7.16738763241355,16.1044063158787,30.3570236311431,73.4099185388873,12.5663989283631,15.1203796673956
"fg3",2005,49.176557768712,42.1488515697832,56.2042639676407,226,22.7855098200792,2.77094080534185,2.13646162516925,11.5267266049498,26.8399136957587,44.6246040960011,122.615277771234,19.9503850690501,26.0235306719142
"fg3",2005,65.5755051659368,56.2042639676407,74.9467463642328,91,29.9856851988581,2.82530812432923,6.18875093931914,14.156045183687,34.0525066984922,61.264945588621,160.39612472631,24.2235600696469,37.1184629451589
"fg3",2005,87.4430231166713,74.9467463642328,99.9392998691097,23,108.29771412129,2.19681143021486,17.9620471589503,73.0714131127967,115.034458933599,178.761245653905,343.312585376647,78.5118413787192,149.383770370664
