species,fg,crowndepth_a,crowndepth_b,height_a,height_b,height_k,area_a,area_b,height_corr_factor,area_corr_factor,crowndepth_corr_factor
leandi,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
licahy,3,-0.15704564623294204,0.5934110771978132,62.5,0.67,20.7,0.725,1.36,1.017,1.163,1.259334742287724
licapl,5,-0.5969961007084831,0.6852484799843792,61,0.72,23.4,0.639,1.24,1.017,1.163,1.259334742287724
lindla,2,-0.21092479648209866,0.5322461660814561,57.4,0.71,23.3,0.488,1.35,1.017,1.163,1.259334742287724
loncla,5,-1.4301189865976962,0.9012414649026299,63.9,0.75,21.4,0.189,1.53,1.017,1.163,1.259334742287724
lozapi,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
luehse,2,-0.21092479648209866,0.5322461660814561,55.1,0.78,26.9,0.526,1.33,1.017,1.163,1.259334742287724
maclti,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
macrgl,3,-0.15704564623294204,0.5934110771978132,59.4,0.71,23.7,0.569,1.3,1.017,1.163,1.259334742287724
malmsp,3,-0.15704564623294204,0.5934110771978132,60.1,0.7,20.4,0.468,1.37,1.017,1.163,1.259334742287724
malpro,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
maquco,3,-0.38843969818437046,0.42073455318017167,59.1,0.68,21.2,0.517,1.33,1.017,1.163,1.259334742287724
mar1la,3,-0.15704564623294204,0.5934110771978132,56.2,0.64,23,0.647,1.33,1.017,1.163,1.259334742287724
margno,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
maytsc,2,-0.21092479648209866,0.5322461660814561,61.4,0.75,21.7,0.525,1.34,1.017,1.163,1.259334742287724
micoaf,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
micoar,1,-0.16810350278468741,0.5810052464561796,50.8,0.79,18.2,0.626,1.34,1.017,1.163,1.259334742287724
micodo,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
micoel,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
micoho,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
micoim,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
micone,4,-0.5559192058271225,0.7791386152933956,54.9,0.7,24.3,0.862,1.26,1.017,1.163,1.259334742287724
micopr,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
mourmy,4,-0.5559192058271225,0.7791386152933956,62.5,0.51,19.4,0.898,1.32,1.017,1.163,1.259334742287724
myrcga,5,-0.5969961007084831,0.6852484799843792,61.2,0.64,17.8,0.642,1.34,1.017,1.163,1.259334742287724
myrofr,3,-0.15704564623294204,0.5934110771978132,66.4,0.76,20.7,0.423,1.47,1.017,1.163,1.259334742287724
nectci,2,-0.21092479648209866,0.5322461660814561,55.6,0.75,17.2,0.518,1.35,1.017,1.163,1.259334742287724
nectgl,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
nectpu,5,-0.5969961007084831,0.6852484799843792,55,0.74,19.5,0.665,1.34,1.017,1.163,1.259334742287724
nects1,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
neeaam,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ochrpy,1,-0.6749005336882523,0.6456136204616302,34.6,0.9,13.4,0.702,1.39,1.017,1.163,1.259334742287724
ocotce,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ocotob,1,-0.6749005336882523,0.6456136204616302,51.4,0.75,20.5,0.562,1.31,1.017,1.163,1.259334742287724
ocotpu,1,-0.6749005336882523,0.6456136204616302,56.5,0.75,20.9,0.584,1.37,1.017,1.163,1.259334742287724
ocotwh,1,0.5788620934361867,0.3032165944998994,57.4,0.78,22,0.717,1.24,1.017,1.163,1.259334742287724
olmeas,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ormoam,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ormocr,3,-0.15704564623294204,0.5934110771978132,60,0.77,21.3,0.391,1.33,1.017,1.163,1.259334742287724
ormoma,3,-0.15704564623294204,0.5934110771978132,58.2,0.81,28.1,0.264,1.43,1.017,1.163,1.259334742287724
ouralu,3,-0.15704564623294204,0.5934110771978132,66.2,0.74,21.2,0.288,1.47,1.017,1.163,1.259334742287724
paligu,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
pentma,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
perexa,5,-0.5969961007084831,0.6852484799843792,59.7,0.66,19.7,0.666,1.33,1.017,1.163,1.259334742287724
phoeci,2,-0.21092479648209866,0.5322461660814561,55.3,0.72,19.2,0.291,1.39,1.017,1.163,1.259334742287724
picrla,4,-0.8529173477885416,0.911454193909292,63.4,0.56,19.7,0.147,1.77,1.017,1.163,1.259334742287724
pipea1,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
pipeae,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
pipeca,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
pipeco,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
pipecu,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
pipepe,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
pipere,5,-0.5969961007084831,0.6852484799843792,56.7,0.72,22.1,0.66,1.32,1.017,1.163,1.259334742287724
pit1ma,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
pit1ru,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
pla1pi,5,-0.3182698182137023,0.5626485972750134,65.7,0.68,18.7,0.479,1.35,1.017,1.163,1.259334742287724
pla2el,2,-0.009765750513063408,0.4612574720991613,59.3,0.77,23.3,0.811,1.22,1.017,1.163,1.259334742287724
pochqu,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
pochse,2,-0.8389087706817593,0.7207882979362404,58.1,0.78,20.4,0.504,1.25,1.017,1.163,1.259334742287724
posola,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
poular,1,-1.3519209965513397,0.9258618254268959,57.4,0.86,33.1,0.332,1.32,1.017,1.163,1.259334742287724
pourbi,1,-0.6749005336882523,0.6456136204616302,51.1,0.71,16.4,0.6,1.39,1.017,1.163,1.259334742287724
poutfo,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
poutre,3,-0.5541426561666769,0.737965788210672,63.3,0.71,20.6,0.69,1.32,1.017,1.163,1.259334742287724
poutst,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
pri2co,2,-0.19497994361765314,0.6356291021032353,60.1,0.86,36.5,0.908,1.18,1.017,1.163,1.259334742287724
protco,5,-0.3829788253562491,0.6690269244039252,60.8,0.61,19.3,0.661,1.38,1.017,1.163,1.259334742287724
protpa,3,-0.8160394344180354,0.7718323580758326,61.8,0.68,19.8,0.356,1.42,1.017,1.163,1.259334742287724
protsp,5,-0.5969961007084831,0.6852484799843792,54.5,0.68,16.7,0.76,1.25,1.017,1.163,1.259334742287724
protte,3,-0.21811564530636293,0.6644348642109772,50.1,0.75,21.2,0.565,1.37,1.017,1.163,1.259334742287724
pse1se,1,-0.6749005336882523,0.6456136204616302,52.7,0.8,20.6,0.55,1.28,1.017,1.163,1.259334742287724
psidfr,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
psycac,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
psycch,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
psycde,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
psycg1,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
psycg3,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
psycho,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
psycli,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
psycma,4,-0.7629969290960934,1.117364817941232,56.9,0.68,26.1,0.552,1.36,1.017,1.163,1.259334742287724
psycpi,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
psycps,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
psycra,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
pterof,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
pterro,5,-0.05125094756434567,0.4259038486844626,62.8,0.75,23.3,0.534,1.37,1.017,1.163,1.259334742287724
quaras,2,-0.379370399612361,0.6262740280011396,57.8,0.86,32,1.052,1.09,1.017,1.163,1.259334742287724
quasam,3,-0.15704564623294204,0.5934110771978132,63.9,0.56,21.5,0.591,1.34,1.017,1.163,1.259334742287724
randar,3,-0.15704564623294204,0.5934110771978132,61.3,0.52,20.6,0.771,1.35,1.017,1.163,1.259334742287724
randfo,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
rauvli,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
rinosy,3,-0.15704564623294204,0.5934110771978132,61.2,0.64,24.9,1.095,1.27,1.017,1.163,1.259334742287724
sapiau,1,-0.6749005336882523,0.6456136204616302,57.1,0.8,22.2,0.489,1.4,1.017,1.163,1.259334742287724
sapisp,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
sch2mo,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
