sp,genus,species,family,grform,repsize,sppnumber,abun,X1,X2,WSG_AVG,MAXHEIGHT_AVG,SEED__DRY_MIX,LogAvAbun,X1new,X2new,fg1,fis,sil,fg5,fg13,fg20,fgall,splower,PC_slow_to_fast,PC_breeder_to_pioneer
ERY2PA,Erythroxylum,panamense,Erythroxylaceae,U,1,79,646,-1.64879849583797,1.35233944565293,0.703274947,7.554,0.015756,4.68609162834031,1.64879849583797,-1.35233944565293,1,3,1,3,9,18,79,ery2pa,-1.64879849583797,-1.35233944565293
EUGECO,Eugenia,coloradoensis,Myrtaceae,T,30,80,2749,-0.328112741112768,0.51054855194802,0.693421672,21.89605721,0.085296875,6.60025915059744,0.328112741112768,-0.51054855194802,1,2,2,5,3,10,80,eugeco,-0.328112741112768,-0.51054855194802
EUGEGA,Eugenia,galalonensis,Myrtaceae,U,4,81,2578,-1.9739488884417,1.1846980338919,0.6362659,16.09042981,0.08892,7.29660695461609,1.9739488884417,-1.1846980338919,1,3,1,3,9,18,81,eugega,-1.9739488884417,-1.1846980338919
EUGENE,Eugenia,nesiotica,Myrtaceae,M,10,82,2240,-2.52412702275272,0.479675587420342,0.731548716,21.05875274,0.34089,6.25684623260032,2.52412702275272,-0.479675587420342,1,3,2,3,9,15,82,eugene,-2.52412702275272,-0.479675587420342
EUGEOE,Eugenia,oerstediana,Myrtaceae,M,20,83,3249,0.381115732726979,0.680269442506749,0.655528713,16.74474909,NA,7.63143166457691,-0.381115732726979,-0.680269442506749,1,2,2,5,3,11,83,eugeoe,0.381115732726979,-0.680269442506749
FARAOC,Faramea,occidentalis,Rubiaceae,U,5,84,3541,-1.36005532824037,-0.473015035188125,0.609443794,15.69821954,0.193216,10.1569164105009,1.36005532824037,0.473015035188125,1,3,2,3,4,20,84,faraoc,-1.36005532824037,0.473015035188125
FICUIN,Ficus,insipida,Moraceae,T,40,89,65,1.73913886079308,-1.14036308308299,0.33596969,11.65457162,6.95e-4,2.44853900561713,-1.73913886079308,1.14036308308299,1,1,3,1,13,8,85,ficuin,1.73913886079308,1.14036308308299
FICUMA,Ficus,maxima,Moraceae,T,30,90,47,0.81310730421909,-2.29249036014283,0.373133921,17.37938238,NA,2.02438176449681,-0.81310730421909,2.29249036014283,1,2,3,2,12,4,86,ficuma,0.81310730421909,2.29249036014283
FICUTO,Ficus,tonduzii,Moraceae,M,20,93,256,0.68429043189756,-0.731090132488808,0.357471104,11.24397584,NA,3.68530163276605,-0.68429043189756,0.731090132488808,1,2,2,5,5,17,87,ficuto,0.68429043189756,0.731090132488808
FICUYO,Ficus,yoponensis,Moraceae,T,40,95,41,0.27649345223708,-2.98242081467423,0.342293186,26.05778896,NA,1.90423745265474,-0.27649345223708,2.98242081467423,1,2,3,2,12,4,88,ficuyo,0.27649345223708,2.98242081467423
GAR2IN,Garcinia,intermedia,Clusiaceae,M,10,96,3047,-1.69794612588541,0.253780301488439,0.653861658,15.89250961,0.541,8.36497397843873,1.69794612588541,-0.253780301488439,1,3,2,3,9,20,89,gar2in,-1.69794612588541,-0.253780301488439
GAR2MA,Garcinia,madruno,Clusiaceae,M,20,97,1925,-0.0453146652425425,1.66088373197251,0.649363441,16.44212577,3.239700667,6.19207030539683,0.0453146652425425,-1.66088373197251,1,2,1,4,8,14,90,gar2ma,-0.0453146652425425,-1.66088373197251
GENIAM,Genipa,americana,Rubiaceae,T,30,98,468,-1.16365199063479,-1.33244334203181,0.68095339,19.99481902,0.06865,4.33635659784069,1.16365199063479,1.33244334203181,1,3,3,2,11,16,91,geniam,-1.16365199063479,1.33244334203181
GUAPST,Guapira,standleyana,Nyctaginaceae,T,30,99,1144,0.476194225885319,-2.361136421778,0.51103538,32.24702497,0.061173333,5.22343986761529,-0.476194225885319,2.361136421778,1,2,3,2,12,4,92,guapst,0.476194225885319,2.361136421778
GUARGR,Guarea,grandifolia,Meliaceae,T,30,100,351,-0.493690552752317,-1.20025079439761,0.579283823,29.60304801,0.210225833,4.08717607274349,0.493690552752317,1.20025079439761,1,2,3,2,5,13,93,guargr,-0.493690552752317,1.20025079439761
GUARGU,Guarea,guidonia,Meliaceae,M,4,101,3679,-1.11825787403198,-0.339590047252025,0.560028931,20.17139048,0.153,7.5269483217091,1.11825787403198,0.339590047252025,1,3,2,3,4,20,94,guargu,-1.11825787403198,0.339590047252025
GUARSP,Guarea,fuzzy,Meliaceae,M,8,102,3046,-0.9816367677389,1.49120781367488,0.667748457,17.22667499,NA,7.06987412845857,0.9816367677389,-1.49120781367488,1,3,1,4,8,14,95,guarsp,-0.9816367677389,-1.49120781367488
GUATDU,Guatteria,dumetorum,Annonaceae,T,30,103,3502,0.643015055122414,-0.547587378982922,0.446201315,34.64006647,0.04003,7.11859487469733,-0.643015055122414,0.547587378982922,1,2,2,5,2,6,96,guatdu,0.643015055122414,0.547587378982922
GUAZUL,Guazuma,ulmifolia,Sterculiaceae,T,30,104,329,2.12054890126599,-2.05154917943504,0.494623918,23.05458889,0.001296667,4.05797691805123,-2.12054890126599,2.05154917943504,1,1,3,2,13,8,97,guazul,2.12054890126599,2.05154917943504
GUETFO,Guettarda,foliacea,Rubiaceae,U,10,105,1950,-1.04927539764698,-0.564045280342929,0.61838453,10.56,NA,5.79605775076537,1.04927539764698,0.564045280342929,1,3,2,3,4,20,98,guetfo,-1.04927539764698,0.564045280342929
GUSTSU,Gustavia,superba,Lecythidaceae,M,10,106,2959,-1.07628820425345,-2.00045926412648,0.612491625,20.57010375,5.661719114,6.66531968428731,1.07628820425345,2.00045926412648,1,3,3,2,11,16,99,gustsu,-1.07628820425345,2.00045926412648
HAMEAX,Hamelia,axillaris,Rubiaceae,S,1,107,617,1.20125897386555,3.09160090057119,0.45707116800000003,3.562,NA,4.66747406932424,-1.20125897386555,-3.09160090057119,1,2,1,4,7,1,100,hameax,1.20125897386555,-3.09160090057119
HAMEPA,Hamelia,patens,Rubiaceae,S,1,108,7,0.998635651266544,1.49416185888404,0.39643937,NA,5e-5,0,-0.998635651266544,-1.49416185888404,1,2,1,4,7,2,101,hamepa,0.998635651266544,-1.49416185888404
HAMPAP,Hampea,appendiculata,Malvaceae,M,8,109,355,4.71265154868107,0.249616568124329,0.287770868,18.11075048,0.06,4.35670882668959,-4.71265154868107,-0.249616568124329,1,1,2,1,6,5,102,hampap,4.71265154868107,-0.249616568124329
HASSFL,Hasseltia,floribunda,Flacourtiaceae,M,8,110,2625,1.22069112857738,-0.168864431216843,0.565203238,15.0101679,0.01123,6.5988982093939,-1.22069112857738,0.168864431216843,1,2,2,5,2,6,103,hassfl,1.22069112857738,0.168864431216843
HEISAC,Heisteria,acuminata,Olacaceae,U,5,111,651,-1.0920465266476,-0.824077247288906,0.682125856,11.486,0.036929444,4.66747406932424,1.0920465266476,0.824077247288906,1,3,2,3,4,20,104,heisac,-1.0920465266476,0.824077247288906
